route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
157,Streeterville/Taylor,03/01/2001,3480,0,0,76560
169,69th-UPS Express,03/01/2001,767.5,55.8,0,17163
170,U. of Chicago/Midway,03/01/2001,237.9,0,0,5233
171,U. of Chicago/Hyde Park,03/01/2001,948.2,312.5,253.2,23436
172,U. of Chicago/Kenwood,03/01/2001,982.4,76.3,62.6,22245
173,U. of Chicago/Lakeview Express,03/01/2001,206.2,243,124.1,6247
201,Central/Ridge,03/01/2001,1413.8,642.2,282.5,35445
202,Main/Emerson,03/01/2001,494.3,0,0,10875
203,Ridge/Grant,03/01/2001,1700.7,0,0,37416
204,Dodge,03/01/2001,1690.8,0,0,37197
1,Indiana/Hyde Park,04/01/2001,6875.1,0,0,144377
2,Hyde Park Express,04/01/2001,809.2,0,0,16993
3,King Drive,04/01/2001,21917.1,15266.7,9533.3,568992
4,Cottage Grove,04/01/2001,24309.3,18608.4,11762.3,643740
6,Jackson Park Express,04/01/2001,18238.5,12655.7,7509.4,471177
7,Harrison,04/01/2001,5292.7,0,0,111146
8,Halsted,04/01/2001,19911.5,13060,9281.7,516791
8A,South Halsted,04/01/2001,3170.6,2962.7,1721.4,87040
9,Ashland,04/01/2001,31136.2,24477.5,16494.1,834240
10,Museum of S & I,04/01/2001,0,926.8,441.1,5913
11,Lincoln/Sedgwick,04/01/2001,3794.3,1926,1211.3,93440
12,Roosevelt,04/01/2001,10568.6,7308,5694.7,279647
14,Jeffery Express,04/01/2001,9725.6,0,0,204237
17,Westchester,04/01/2001,648.9,0,0,13626
18,16th/18th,04/01/2001,1685.9,1003.6,732.2,43079
19,United Center Express,04/01/2001,466.2,860.7,305.9,4109
20,Madison,04/01/2001,21244.5,13722.4,9045.4,546252
21,Cermak,04/01/2001,7623.9,8625,6465.1,226926
X21,Cermak Express,04/01/2001,0,711.7,317.1,3721
22,Clark,04/01/2001,22428.9,16670.5,11831.8,596848
24,Wentworth,04/01/2001,4317.6,0,0,90671
25,West Cermak,04/01/2001,476.1,0,0,9999
27,South Deering,04/01/2001,5650.2,3771.7,2458.6,146033
28,Stony Island,04/01/2001,12183.6,9465,5794.3,322687
29,State,04/01/2001,17241.6,13254.5,9303.4,461607
30,South Chicago,04/01/2001,3837.4,2288.4,704.2,93261
33,Mag Mile Express,04/01/2001,623,0,0,13083
34,South Michigan,04/01/2001,7830.2,6515.1,3991.8,210454
35,35th,04/01/2001,6111.6,3698,2485.4,155563
36,Broadway,04/01/2001,15016.9,13780.9,9602.4,418491
37,Sedgwick,04/01/2001,2487,0,0,52227
39,Pershing,04/01/2001,2230.3,0,0,46837
43,43rd,04/01/2001,1237.9,549.7,355.7,29973
44,Wallace-Racine,04/01/2001,6475.3,3104.4,1669.7,156748
47,47th,04/01/2001,8463.6,6425.6,3854.5,222711
48,South Damen,04/01/2001,1101.5,0,0,23132
49,Western,04/01/2001,24154.8,20457,13436.6,656261
49A,South Western,04/01/2001,394.9,0,0,8292
49B,North Western,04/01/2001,5123.2,3695.2,2365.4,134195
X49,Western Express,04/01/2001,5310.4,0,0,111517
50,Damen,04/01/2001,8866.3,5062.4,2997.4,221429
51,51st,04/01/2001,4854.8,4742.8,2370.7,132776
52,Kedzie/California,04/01/2001,12301.4,8886.6,6120.1,324477
52A,South Kedzie,04/01/2001,6568.3,3799,2381.5,165038
